bee_id,group,trial,choice,block
24,RL,17,1,20
24,RL,18,1,20
24,RL,19,1,20
24,RL,20,0,20
24,RL,21,1,30
24,RL,22,1,30
24,RL,23,0,30
24,RL,24,0,30
24,RL,25,0,30
24,RL,26,1,30
24,RL,27,0,30
24,RL,28,0,30
24,RL,29,1,30
24,RL,30,1,30
24,RL,31,1,40
24,RL,32,1,40
24,RL,33,0,40
24,RL,34,1,40
24,RL,35,1,40
24,RL,36,0,40
24,RL,37,1,40
24,RL,38,1,40
24,RL,39,0,40
24,RL,40,0,40
25,LR,1,0,10
25,LR,2,0,10
25,LR,3,1,10
25,LR,4,1,10
25,LR,5,1,10
25,LR,6,0,10
25,LR,7,1,10
25,LR,8,1,10
25,LR,9,1,10
25,LR,10,0,10
25,LR,11,0,20
25,LR,12,1,20
25,LR,13,1,20
25,LR,14,1,20
25,LR,15,0,20
25,LR,16,0,20
25,LR,17,0,20
25,LR,18,1,20
25,LR,19,0,20
25,LR,20,1,20
25,LR,21,1,30
25,LR,22,1,30
25,LR,23,1,30
25,LR,24,1,30
25,LR,25,0,30
25,LR,26,0,30
25,LR,27,0,30
25,LR,28,0,30
25,LR,29,1,30
25,LR,30,1,30
25,LR,31,1,40
25,LR,32,0,40
25,LR,33,1,40
25,LR,34,1,40
25,LR,35,1,40
25,LR,36,1,40
25,LR,37,1,40
25,LR,38,0,40
25,LR,39,1,40
25,LR,40,0,40
26,RL,1,0,10
26,RL,2,1,10
26,RL,3,1,10
26,RL,4,0,10
26,RL,5,0,10
26,RL,6,0,10
26,RL,7,1,10
26,RL,8,1,10
26,RL,9,1,10
26,RL,10,0,10
26,RL,11,1,20
26,RL,12,1,20
26,RL,13,1,20
26,RL,14,0,20
26,RL,15,0,20
26,RL,16,1,20
26,RL,17,0,20
26,RL,18,1,20
26,RL,19,1,20
26,RL,20,0,20
26,RL,21,1,30
26,RL,22,1,30
26,RL,23,0,30
26,RL,24,1,30
26,RL,25,0,30
26,RL,26,1,30
26,RL,27,1,30
26,RL,28,1,30
26,RL,29,1,30
26,RL,30,1,30
26,RL,31,0,40
26,RL,32,1,40
26,RL,33,1,40
26,RL,34,1,40
26,RL,35,1,40
26,RL,36,0,40
26,RL,37,0,40
26,RL,38,1,40
26,RL,39,1,40
26,RL,40,1,40
27,LR,1,1,10
27,LR,2,1,10
27,LR,3,0,10
27,LR,4,0,10
27,LR,5,0,10
27,LR,6,1,10
27,LR,7,1,10
27,LR,8,0,10
27,LR,9,1,10
27,LR,10,1,10
27,LR,11,1,20
27,LR,12,0,20
27,LR,13,1,20
27,LR,14,0,20
27,LR,15,1,20
27,LR,16,1,20
27,LR,17,1,20
27,LR,18,0,20
27,LR,19,1,20
27,LR,20,1,20
27,LR,21,1,30
27,LR,22,1,30
27,LR,23,1,30
27,LR,24,1,30
27,LR,25,0,30
27,LR,26,1,30
27,LR,27,1,30
27,LR,28,1,30
27,LR,29,1,30
27,LR,30,0,30
27,LR,31,0,40
27,LR,32,1,40
27,LR,33,1,40
27,LR,34,1,40
27,LR,35,0,40
27,LR,36,1,40
27,LR,37,0,40
27,LR,38,0,40
27,LR,39,1,40
27,LR,40,1,40
28,RL,1,1,10
28,RL,2,1,10
28,RL,3,0,10
28,RL,4,0,10
28,RL,5,1,10
28,RL,6,1,10
28,RL,7,0,10
28,RL,8,1,10
28,RL,9,0,10
28,RL,10,0,10
28,RL,11,0,20
28,RL,12,1,20
28,RL,13,0,20
28,RL,14,1,20
28,RL,15,0,20
28,RL,16,1,20
28,RL,17,1,20
28,RL,18,0,20
28,RL,19,0,20
28,RL,20,1,20
28,RL,21,1,30
28,RL,22,0,30
28,RL,23,0,30
28,RL,24,1,30
28,RL,25,0,30
28,RL,26,0,30
28,RL,27,0,30
28,RL,28,0,30
28,RL,29,1,30
28,RL,30,0,30
28,RL,31,0,40
28,RL,32,0,40
28,RL,33,1,40
28,RL,34,0,40
28,RL,35,1,40
28,RL,36,1,40
28,RL,37,1,40
28,RL,38,0,40
28,RL,39,1,40
28,RL,40,0,40
29,LR,1,0,10
29,LR,2,0,10
29,LR,3,0,10
29,LR,4,1,10
29,LR,5,0,10
29,LR,6,0,10
29,LR,7,1,10
29,LR,8,1,10
29,LR,9,0,10
29,LR,10,0,10
29,LR,11,0,20
29,LR,12,1,20
29,LR,13,0,20
29,LR,14,1,20
29,LR,15,0,20
29,LR,16,0,20
29,LR,17,1,20
29,LR,18,0,20
29,LR,19,0,20
29,LR,20,0,20
29,LR,21,0,30
29,LR,22,1,30
29,LR,23,1,30
29,LR,24,0,30
29,LR,25,0,30
29,LR,26,1,30
29,LR,27,0,30
29,LR,28,0,30
29,LR,29,0,30
29,LR,30,0,30
29,LR,31,0,40
29,LR,32,1,40
29,LR,33,1,40
29,LR,34,0,40
29,LR,35,0,40
29,LR,36,1,40
29,LR,37,0,40
29,LR,38,1,40
29,LR,39,1,40
29,LR,40,1,40
30,RL,1,1,10
30,RL,2,0,10
30,RL,3,1,10
30,RL,4,0,10
30,RL,5,1,10
30,RL,6,0,10
30,RL,7,0,10
30,RL,8,1,10
30,RL,9,1,10
30,RL,10,1,10
30,RL,11,0,20
30,RL,12,0,20
30,RL,13,1,20
30,RL,14,0,20
30,RL,15,0,20
30,RL,16,1,20
30,RL,17,0,20
30,RL,18,0,20
30,RL,19,1,20
30,RL,20,1,20
30,RL,21,0,30
30,RL,22,1,30
30,RL,23,1,30
30,RL,24,1,30
30,RL,25,1,30
30,RL,26,1,30
30,RL,27,1,30
30,RL,28,1,30
30,RL,29,0,30
30,RL,30,1,30
30,RL,31,1,40
30,RL,32,1,40
30,RL,33,1,40
30,RL,34,0,40
30,RL,35,1,40
30,RL,36,0,40
30,RL,37,0,40
30,RL,38,0,40
30,RL,39,1,40
30,RL,40,0,40
31,LR,1,1,10
31,LR,2,0,10
31,LR,3,1,10
31,LR,4,0,10
31,LR,5,0,10
31,LR,6,0,10
31,LR,7,1,10
31,LR,8,1,10
31,LR,9,1,10
31,LR,10,1,10
31,LR,11,1,20
31,LR,12,1,20
31,LR,13,1,20
31,LR,14,0,20
31,LR,15,0,20
31,LR,16,1,20
31,LR,17,0,20
31,LR,18,0,20
31,LR,19,0,20
31,LR,20,0,20
31,LR,21,1,30
31,LR,22,1,30
31,LR,23,0,30
31,LR,24,0,30
31,LR,25,1,30
31,LR,26,1,30
31,LR,27,1,30
31,LR,28,1,30
31,LR,29,0,30
31,LR,30,0,30
31,LR,31,0,40
31,LR,32,0,40
31,LR,33,1,40
31,LR,34,1,40
31,LR,35,1,40
31,LR,36,1,40
31,LR,37,1,40
31,LR,38,1,40
31,LR,39,1,40
31,LR,40,0,40
32,RL,1,1,10
32,RL,2,1,10
32,RL,3,1,10
32,RL,4,1,10
32,RL,5,1,10
32,RL,6,1,10
32,RL,7,0,10
32,RL,8,1,10
32,RL,9,0,10
32,RL,10,1,10
32,RL,11,0,20
32,RL,12,1,20
32,RL,13,0,20
32,RL,14,1,20
32,RL,15,0,20
32,RL,16,0,20
32,RL,17,0,20
32,RL,18,1,20
32,RL,19,1,20
32,RL,20,0,20
32,RL,21,1,30
32,RL,22,0,30
32,RL,23,1,30
